symbol,start_date,end_value,sharpe_ratio,trade time,last_entry_time
FLOKIUSDT,2024-03-28,803.5743760266015,-1.8532871856186777,5,2024-04-01 05:48:00
LTCUSDT,2024-03-29,871.1261303253473,-2.002061565647681,5,2024-04-01 14:52:00
JUPUSDT,2024-03-30,774.7096473098206,-2.6167011546591694,5,2024-04-05 02:40:00
BCHUSDT,2024-03-31,750.1023242216052,-3.4955734852715414,5,2024-04-01 14:38:00
IOTAUSDT,2024-04-01,989.7164225615456,-4.815003796907522,2,2024-04-08 13:19:00
OPUSDT,2024-04-02,921.0906148867315,-0.37053228355740014,5,2024-04-03 02:01:00
ENAUSDT,2024-04-03,837.3056057866183,-0.8428511713251301,5,2024-04-04 01:24:00
ETCUSDT,2024-04-04,837.2604422604422,-2.0392628412442284,5,2024-04-05 07:28:00
APTUSDT,2024-04-05,730.2218430034129,-3.505890090049683,5,2024-04-07 03:46:00
AVAXUSDT,2024-04-06,786.1172085317871,-2.468268321138756,5,2024-04-08 08:51:00
PEPEUSDT,2024-04-07,1034.7203274215553,0.7801236609916784,5,2024-04-08 08:19:00
NEOUSDT,2024-04-08,801.5461943513644,-1.542813052650403,5,2024-04-09 09:46:00
FTMUSDT,2024-04-09,797.0593552274781,-2.2300048228049123,5,2024-04-10 02:35:00
UNIUSDT,2024-04-10,809.8916779502136,-2.593461873783652,5,2024-04-11 01:29:00
UNIUSDT,2024-04-11,997.7056372011406,-4.23439166941663,1,2024-04-12 00:33:00
DYDXUSDT,2024-04-12,874.9628982976867,-1.442099947318557,5,2024-04-13 11:05:00
SANDUSDT,2024-04-13,991.4528023598822,0.004009619466591718,5,2024-04-14 04:56:00
WIFUSDT,2024-04-14,972.7140445644833,0.13556052947153854,5,2024-04-15 01:05:00
OMUSDT,2024-04-15,931.2524222570823,-0.6250025291119544,5,2024-04-16 12:46:00
TIAUSDT,2024-04-16,860.314465408805,-1.8500931408655443,5,2024-04-17 03:35:00
WLDUSDT,2024-04-17,1026.9793253536454,0.6642703663560324,5,2024-04-18 01:02:00
GALAUSDT,2024-04-18,1064.345416762872,1.2180844000413986,5,2024-04-19 01:44:00
WIFUSDT,2024-04-19,923.0017433751746,-0.39487106115748805,5,2024-04-20 03:06:00
BONKUSDT,2024-04-20,1006.3127001067237,2.813772056943926,1,2024-04-21 00:49:00
BONKUSDT,2024-04-21,1507.8156996587031,3.9973061895705193,5,2024-04-22 14:56:00
SEIUSDT,2024-04-22,870.4462020593941,-1.3178977684155642,5,2024-04-23 07:26:00
HBARUSDT,2024-04-23,795.2853437094683,-2.9863787185437944,5,2024-04-24 05:55:00
ALGOUSDT,2024-04-24,942.1029836381136,-1.0421442452595073,5,2024-04-25 01:51:00
ARUSDT,2024-04-25,1138.5397864768684,1.600967612229164,5,2024-04-26 01:08:00
LTCUSDT,2024-04-26,985.2274550246362,-0.3324858633126533,5,2024-04-27 10:35:00
ENSUSDT,2024-04-27,1364.0914489311162,4.05935886736413,5,2024-05-20 20:39:00
ARUSDT,2024-04-28,1018.3762829709746,0.5397673091728303,5,2024-05-03 13:15:00
SEIUSDT,2024-04-29,998.1646872525732,-3.427788213639764,1,2024-04-30 00:33:00
IMXUSDT,2024-04-30,1087.5616409610743,1.2819983913142357,5,2024-05-01 03:42:00
OPUSDT,2024-05-01,939.5701689933873,-0.5931271738004464,5,2024-05-02 04:52:00
IMXUSDT,2024-05-02,977.7414541508408,0.03485276140132333,5,2024-05-03 03:16:00
OMUSDT,2024-05-03,1093.9555264879004,1.6287336966769819,5,2024-05-04 05:08:00
FLOKIUSDT,2024-05-04,1303.0940503071995,2.8186984313459953,5,2024-05-06 08:41:00
WLDUSDT,2024-05-05,888.6723359944464,-1.3942932586123464,5,2024-05-08 16:10:00
ENAUSDT,2024-05-06,1089.8232044198894,1.3162358965514498,5,2024-05-07 03:24:00
TIAUSDT,2024-05-07,1098.3421330517422,1.4233627769012094,5,2024-05-09 13:42:00
RUNEUSDT,2024-05-08,970.4361737958909,-0.15483042098567554,5,2024-05-11 08:12:00
ARUSDT,2024-05-09,946.6560768201796,-0.39300605827398255,5,2024-05-11 17:02:00
THETAUSDT,2024-05-10,946.1337209302325,-0.6035698426117173,5,2024-05-16 02:10:00
IMXUSDT,2024-05-11,853.5051951453769,-2.4442336252859715,5,2024-05-15 15:26:00
RUNEUSDT,2024-05-12,860.1989804308502,-1.8403399506083833,5,2024-05-13 02:33:00
FLOKIUSDT,2024-05-13,1005.366009589771,0.7629416561957207,2,2024-05-14 16:50:00
PEPEUSDT,2024-05-14,1095.0731261425958,1.2071725214503692,5,2024-05-15 12:25:00
IMXUSDT,2024-05-15,800.5759318423854,-3.340078958770637,5,2024-05-19 13:25:00
LINKUSDT,2024-05-16,974.3327379433529,-0.9361898617465308,5,2024-06-11 13:01:00
ARUSDT,2024-05-17,715.6631473730242,-4.0066722077868215,5,2024-05-21 03:44:00
BONKUSDT,2024-05-18,885.8457620953075,-0.5781436659022605,5,2024-05-19 11:50:00
PYTHUSDT,2024-05-19,867.8944504896627,-0.9815612649225626,5,2024-05-20 01:22:00
ENSUSDT,2024-05-20,1396.2958904109591,3.4691157887566852,5,2024-05-21 05:21:00
ENSUSDT,2024-05-21,1191.8504672897195,2.212479051539484,5,2024-05-22 05:07:00
WIFUSDT,2024-05-22,643.2366955237903,-3.9805774385528254,5,2024-05-25 09:29:00
ENSUSDT,2024-05-23,1094.2384386932542,1.5672302042497022,5,2024-06-07 18:01:00
UNIUSDT,2024-05-24,1000.9854932301739,0.3752034330074999,5,2024-06-02 10:13:00
UNIUSDT,2024-05-25,895.6900641307211,-0.7406839631454601,5,2024-05-28 03:30:00
JASMYUSDT,2024-05-26,1117.2556213447635,1.4160216967658699,5,2024-05-27 10:12:00
FLOKIUSDT,2024-05-27,727.2959553493769,-3.4688118571030837,5,2024-05-30 06:06:00
TIAUSDT,2024-05-28,651.4874022589054,-5.47690563408704,5,2024-05-29 01:32:00
WLDUSDT,2024-05-29,647.6434676434677,-7.407688959170851,5,2024-05-30 07:35:00
ARUSDT,2024-05-30,684.7713671757667,-4.288236107535654,5,2024-05-31 12:03:00
UNIUSDT,2024-05-31,969.8602673147024,0.09070799023654456,5,2024-06-02 16:26:00
OMUSDT,2024-06-01,1066.9450101832992,1.326840568356778,5,2024-06-14 18:24:00
PYTHUSDT,2024-06-02,817.0368608799049,-2.467235137363616,5,2024-06-03 02:38:00
FLOKIUSDT,2024-06-03,752.4741650441816,-4.219688018391573,5,2024-06-11 13:46:00
UNIUSDT,2024-06-04,752.7300017658484,-2.988465066505231,5,2024-06-05 09:36:00
STXUSDT,2024-06-05,681.6743023740108,-4.580842009109903,5,2024-06-06 13:08:00
INJUSDT,2024-06-06,781.549442896936,-2.4069677253416923,5,2024-06-07 18:03:00
OPUSDT,2024-06-07,706.0097647581001,-4.703149072110387,5,2024-06-08 10:23:00
SEIUSDT,2024-06-08,690.4321753515301,-4.799077391247765,5,2024-06-11 01:55:00
OMUSDT,2024-06-09,983.6142074437937,0.1835534234703102,5,2024-06-11 04:22:00
BNBUSDT,2024-06-10,929.8049560351719,-1.8692812197658704,5,2024-06-24 02:55:00
ARUSDT,2024-06-11,735.202221417361,-2.9168996843788744,5,2024-06-12 12:32:00
INJUSDT,2024-06-12,762.751592356688,-3.5184089644545904,5,2024-06-13 20:59:00
CRVUSDT,2024-06-13,1041.4585556741372,0.8014115365910118,5,2024-06-14 16:17:00
ENSUSDT,2024-06-14,1152.1365536460753,1.5913704776410618,5,2024-06-15 03:33:00
RAYUSDT,2024-06-15,1178.895437040495,2.1914402391699,5,2024-06-17 08:31:00
JASMYUSDT,2024-06-16,881.4096357470163,-0.8699254023648831,5,2024-06-17 12:25:00
SANDUSDT,2024-06-17,1027.2045935327892,0.6978047952507409,5,2024-06-18 01:26:00
JUPUSDT,2024-06-18,1238.3865223941925,2.6179976389327786,5,2024-06-19 02:52:00
FETUSDT,2024-06-19,993.1471747700394,0.32636256637484334,5,2024-06-22 12:28:00
WLDUSDT,2024-06-20,879.240294511379,-0.6384520386830272,5,2024-06-21 01:31:00
WIFUSDT,2024-06-21,1503.6129636129635,3.491991637600026,5,2024-06-22 02:09:00
AVAXUSDT,2024-06-22,1206.758114374034,2.975616580640414,5,2024-06-23 11:03:00
ENSUSDT,2024-06-23,1271.5105740181268,2.4006678770805188,5,2024-06-24 09:33:00
AAVEUSDT,2024-06-24,1013.4599202834366,0.44641058163632374,5,2024-07-03 10:27:00
STXUSDT,2024-06-25,1032.8852643419573,0.7247175069254921,5,2024-06-26 04:35:00
FETUSDT,2024-06-26,799.4679633867278,-2.3410476593978347,5,2024-06-27 01:17:00
RAYUSDT,2024-06-27,1341.7484536082475,3.1074635271653412,5,2024-06-28 04:05:00
