symbol,start_date,market_prediction,end_value,max_drawdown,trade time,last_entry_time,close_time
AVAXUSDT,4/6/2024,Uptrend,920.4162352,8.161869537,4,4/8/2024 10:36,4/12/2024 18:35
PEPEUSDT,4/7/2024,Uptrend,751.0368349,26.49674215,5,4/8/2024 8:57,4/12/2024 18:32
NEOUSDT,4/8/2024,Ranging,832.3073241,29.79758821,5,4/9/2024 18:51,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,Uptrend,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
